from,to,time,,,,,,,
swb,kge,1803,,,,,,,
swb,sha,1803,,,,,,,
swb,bng,1804,,,,,,,
swb,mda,1804,,,,,,,
swb,mrs,1804,,,,,,,
swb,cta,1804,,,,,,,
swb,kge,1804,,,,,,,
swb,mrs,1805,,,,,,,
swb,sha,1805,,,,,,,
oce,bmb,1801,,,,,,,
oce,waa,1801,,,,,,,
oce,sha,1802,,,,,,,
oce,cgh,1802,,,,,,,
oce,mrs,1803,,,,,,,
oce,bmb,1803,,,,,,,
oce,mda,1805,,,,,,,
oce,mrs,1805,,,,,,,
oce,pag,1805,,,,,,,
oce,mlc,1805,,,,,,,
oce,waa,1805,,,,,,,
tig,mda,1803,,,,,,,
tig,sag,1803,,,,,,,
tig,cta,1803,,,,,,,
tig,bng,1803,,,,,,,
tig,dh,1804,,,,,,,
tig,sha,1804,,,,,,,
tig,mda,1805,,,,,,,
tig,fdn,1805,,,,,,,
loe,sha,1802,,,,,,,
loe,cgh,1802,,,,,,,
loe,ache,1803,,,,,,,
loe,cta,1803,,,,,,,
loe,kge,1803,,,,,,,
loe,sha,1803,,,,,,,
loe,ck,1803,,,,,,,
loe,mda,1804,,,,,,,
loe,cta,1804,,,,,,,
loe,bng,1805,,,,,,,
loe,sag,1805,,,,,,,
loe,bc,1805,,,,,,,
loe,sha,1805,,,,,,,
cum,cgh,1803,,,,,,,
cum,mrs,1803,,,,,,,
cum,pag,1803,,,,,,,
cum,mlc,1803,,,,,,,
cum,waa,1803,,,,,,,
cum,mlc,1804,,,,,,,
cum,pag,1804,,,,,,,
cum,sha,1804,,,,,,,
cum,mrs,1805,,,,,,,
cum,pag,1805,,,,,,,
cum,mlc,1805,,,,,,,
cum,waa,1805,,,,,,,
car,sha,1803,,,,,,,
car,cta,1803,,,,,,,
car,sag,1803,,,,,,,
car,bc,1804,,,,,,,
car,sha,1804,,,,,,,
car,mda,1805,,,,,,,
car,mrs,1805,,,,,,,
car,dh,1805,,,,,,,
car,sag,1805,,,,,,,
wex,mda,1803,,,,,,,
wex,pag,1803,,,,,,,
wex,waa,1803,,,,,,,
wex,mlc,1804,,,,,,,
wex,pag,1804,,,,,,,
wex,sha,1804,,,,,,,
wex,bmb,1805,,,,,,,
wex,pag,1805,,,,,,,
wex,mlc,1805,,,,,,,
wex,waa,1805,,,,,,,
loc,rdj,1803,,,,,,,
loc,mda,1803,,,,,,,
loc,msp,1803,,,,,,,
loc,dh,1803,,,,,,,
loc,sag,1804,,,,,,,
loc,bc,1804,,,,,,,
loc,bng,1804,,,,,,,
loc,kge,1804,,,,,,,
loc,sag,1804,,,,,,,
loc,cta,1804,,,,,,,
loc,sag,1805,,,,,,,
loc,mda,1805,,,,,,,
war,waa,1803,,,,,,,
war,mlc,1804,,,,,,,
war,pag,1804,,,,,,,
war,sha,1804,,,,,,,
war,sha,1805,,,,,,,
war,bc,1805,,,,,,,
cly,sha,1802,,,,,,,
alt,sag,1802,,,,,,,
alt,sha,1802,,,,,,,
cul,bng,1802,,,,,,,
cul,bc,1802,,,,,,,
adm,mda,1802,,,,,,,
adm,sha,1803,,,,,,,
adm,cey,1803,,,,,,,
adm,mda,1803,,,,,,,
adm,bng,1803,,,,,,,
gra,bng,1803,,,,,,,
gra,rdj,1803,,,,,,,
